"Date","Price","Open","High","Low","Vol.","Change %"
"29/09/2023","1.5538","1.5560","1.5575","1.5379","","-0.13%"
"28/09/2023","1.5559","1.5740","1.5764","1.5543","","-1.14%"
"27/09/2023","1.5738","1.5625","1.5797","1.5600","","0.68%"
"26/09/2023","1.5632","1.5568","1.5658","1.5549","","0.44%"
"25/09/2023","1.5564","1.5503","1.5617","1.5495","","0.28%"
"22/09/2023","1.5521","1.5582","1.5618","1.5465","","-0.37%"
"21/09/2023","1.5579","1.5509","1.5663","1.5492","","0.44%"
"20/09/2023","1.5511","1.5491","1.5532","1.5354","","0.14%"
"19/09/2023","1.5489","1.5533","1.5560","1.5444","","-0.26%"
"18/09/2023","1.5530","1.5521","1.5586","1.5499","","-0.08%"
"15/09/2023","1.5542","1.5526","1.5568","1.5444","","0.12%"
"14/09/2023","1.5523","1.5564","1.5590","1.5479","","-0.30%"
"13/09/2023","1.5569","1.5563","1.5674","1.5538","","0.03%"
"12/09/2023","1.5564","1.5540","1.5606","1.5524","","0.12%"
"11/09/2023","1.5545","1.5646","1.5688","1.5503","","-0.85%"
"08/09/2023","1.5679","1.5682","1.5707","1.5586","","0.00%"
"07/09/2023","1.5679","1.5679","1.5720","1.5635","","0.11%"
"06/09/2023","1.5662","1.5673","1.5732","1.5612","","-0.04%"
"05/09/2023","1.5669","1.5492","1.5732","1.5465","","1.22%"
"04/09/2023","1.5480","1.5486","1.5524","1.5429","","-0.09%"
"01/09/2023","1.5494","1.5427","1.5534","1.5332","","0.48%"
"31/08/2023","1.5420","1.5443","1.5479","1.5364","","-0.11%"
"30/08/2023","1.5437","1.5425","1.5507","1.5330","","0.08%"
"29/08/2023","1.5425","1.5566","1.5623","1.5413","","-0.82%"
"28/08/2023","1.5552","1.5603","1.5624","1.5528","","-0.44%"
"25/08/2023","1.5620","1.5583","1.5674","1.5522","","0.28%"
"24/08/2023","1.5576","1.5429","1.5597","1.5410","","0.90%"
"23/08/2023","1.5437","1.5566","1.5601","1.5425","","-0.85%"
"22/08/2023","1.5569","1.5596","1.5619","1.5482","","-0.14%"
"21/08/2023","1.5591","1.5597","1.5657","1.5570","","-0.14%"
"18/08/2023","1.5613","1.5616","1.5678","1.5551","","0.00%"
"17/08/2023","1.5613","1.5566","1.5712","1.5501","","0.33%"
"16/08/2023","1.5562","1.5484","1.5587","1.5427","","0.47%"
